disease,symptoms
Common Cold,"runny nose cough sneezing sore throat congestion"
Influenza,"fever cough fatigue headache body ache chills"
Viral Respiratory Infection,"fever cough sore throat fatigue congestion"
Gastroenteritis,"nausea vomiting diarrhea abdominal pain fatigue"
Migraine,"headache nausea dizziness"
Allergic Rhinitis,"sneezing runny nose congestion"
Pharyngitis,"sore throat fever cough"
Influenza,"fever chills muscle pain headache cough"
Gastroenteritis,"vomiting diarrhea abdominal pain nausea"
Common Cold,"runny nose sneezing sore throat cough"
